#,Rank FMCK Skövde,Rank Töreboda MK,Rank Tidaholms MK,Rank Falköpings MK,Rank Carlsborgs MK,Rank Tibro MK,Namn,Klubb,Klass,Predicted_Rank,Rank
1210.0,65.0,77.0,85.0,57.0,82.0,103.0,John Larsson,Carlsborgs MK,Motion -39,78.1666666666667,95
97.0,61.0,117.2,62.0,46.4,100.0,86.8,Patrik Olsson,Lilla Edets MCK,Motion 30-39,78.90000000000002,96
19.0,106.0,55.0,115.0,35.0,98.0,66.0,Harald Lindholm,Älvbygdens MK,Bredd,79.16666666666669,97
7.0,85.0,71.0,102.0,39.0,86.0,97.0,Jacob Stacke,SMK Värnamo,Ungdom E1,80.00000000000003,98
1291.0,105.4,46.0,175.8,32.0,38.0,86.0,Christian Appelgren,Stenungsunds MS,Motion 40-49,80.53333333333337,99
14.0,133.4,105.8,91.4,50.4,99.8,4.0,Christoffer Jonasson,SMC,Motion 30-39,80.80000000000003,100
401.0,135.0,81.0,116.0,38.0,85.0,38.0,Erik Bergstrand,Oskarshamns MSK,Motion 40-49,82.16666666666669,101
1214.0,42.0,97.0,81.0,53.0,106.0,116.0,Daniel Andersson,Götene MK,Motion 40-49,82.50000000000004,102
1310.0,62.0,87.6,79.0,52.0,95.0,120.0,Per Lifvendahl,MK Orion,Motion 50-59,82.60000000000004,103
1521.0,66.0,78.0,96.0,56.0,99.0,102.0,Martin Johansson,Skara MK,Motion -39,82.83333333333337,104
1008.0,104.6,84.0,162.4,57.0,17.0,79.2,Björn Levin,Kinna MK,Bredd,84.03333333333336,105
206.0,75.0,122.0,60.0,42.8,116.8,87.6,Tommy Oldenburg,FMCK Skövde,Motion 30-39,84.03333333333337,106
101.0,72.0,157.0,89.0,54.0,76.6,60.0,Marcus Lind,Tidaholms MK,Motion 50-59,84.7666666666667,107
151.0,113.0,112.0,125.0,40.6,70.0,58.0,Måns Kling,Huskvarna MK,Motion -39,86.43333333333337,108
193.0,117.0,36.0,58.0,38.8,167.8,102.2,Patrick Wik,Skene MS,Motion 40-49,86.63333333333337,109
931.0,49.0,76.0,59.0,220.8,54.0,71.0,Per Wikvist,Hallsbergs MK,Motion 50-59,88.30000000000004,110
1561.0,122.0,63.0,90.0,48.0,57.0,150.0,Isac Tornberg,Carlsborgs MK,Ungdom E0,88.33333333333336,111
1228.0,112.0,80.0,86.0,42.0,103.0,108.0,Johan Törnqvist,FMCK Skövde,Motion 40-49,88.50000000000003,112
