Plats,År,Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5,Varv 6,Varv 7,Varv 8,Varv 9,Varv 10,Varv 11,Varv 1_Datetime,Varv 2_Datetime,Varv 3_Datetime,Varv 4_Datetime,Varv 5_Datetime,Varv 6_Datetime,Varv 7_Datetime,Varv 8_Datetime,Varv 9_Datetime,Varv 10_Datetime,Varv 11_Datetime
Töreboda MK,2023.0,66.0,Motion -39,589.0,Joel Rådberg,SMK Trollhättan,4.0,13:18.1,17:56.0,18:05.5,18:23.2,18:53.2,,,,,,,,1900-01-01 00:17:56.000,1900-01-01 00:18:05.500,1900-01-01 00:18:23.200,1900-01-01 00:18:53.200,,,,,,,
Töreboda MK,2023.0,67.0,Motion 40-49,1012.0,Mattias Ringholm,Hallsbergs MK,4.0,13:19.7,17:40.8,17:55.2,18:20.0,19:23.6,,,,,,,,1900-01-01 00:17:40.800,1900-01-01 00:17:55.200,1900-01-01 00:18:20.000,1900-01-01 00:19:23.600,,,,,,,
Töreboda MK,2023.0,68.0,Motion -39,562.0,Johan Hedström,Kinds MK,4.0,13:24.4,17:48.1,18:18.7,18:49.6,18:27.8,,,,,,,,1900-01-01 00:17:48.100,1900-01-01 00:18:18.700,1900-01-01 00:18:49.600,1900-01-01 00:18:27.800,,,,,,,
Töreboda MK,2023.0,69.0,Motion -39,549.0,Rasmus Levén,Bodafors MK,4.0,13:32.0,18:04.2,18:14.9,18:40.7,18:32.1,,,,,,,,1900-01-01 00:18:04.200,1900-01-01 00:18:14.900,1900-01-01 00:18:40.700,1900-01-01 00:18:32.100,,,,,,,
Töreboda MK,2023.0,70.0,Motion 40-49,995.0,Oddbjørn Sandvik,Flittig Enduro,4.0,13:36.9,17:45.9,18:15.5,18:36.8,18:58.6,,,,,,,,1900-01-01 00:17:45.900,1900-01-01 00:18:15.500,1900-01-01 00:18:36.800,1900-01-01 00:18:58.600,,,,,,,
Töreboda MK,2023.0,71.0,Motion -39,540.0,Ronnie Nilsson,Töreboda MK,4.0,13:45.5,17:49.9,18:35.2,18:50.0,18:30.3,,,,,,,,1900-01-01 00:17:49.900,1900-01-01 00:18:35.200,1900-01-01 00:18:50.000,1900-01-01 00:18:30.300,,,,,,,
Töreboda MK,2023.0,72.0,Motion 40-49,989.0,Fredrik Sääv,Götene MK,4.0,13:52.4,17:38.8,18:24.3,18:37.4,19:11.7,,,,,,,,1900-01-01 00:17:38.800,1900-01-01 00:18:24.300,1900-01-01 00:18:37.400,1900-01-01 00:19:11.700,,,,,,,
Töreboda MK,2023.0,73.0,Motion -39,573.0,Jimmi Jakobsson,MK Team Treske,4.0,13:56.3,17:48.4,18:05.1,18:50.8,19:11.9,,,,,,,,1900-01-01 00:17:48.400,1900-01-01 00:18:05.100,1900-01-01 00:18:50.800,1900-01-01 00:19:11.900,,,,,,,
Töreboda MK,2023.0,74.0,Motion -39,501.0,Linus Kjellström,Götene MK,4.0,14:14.0,17:28.9,18:40.8,19:08.1,18:56.1,,,,,,,,1900-01-01 00:17:28.900,1900-01-01 00:18:40.800,1900-01-01 00:19:08.100,1900-01-01 00:18:56.100,,,,,,,
Töreboda MK,2023.0,75.0,Motion -39,528.0,Hugo Lindström,FMCK Borås,4.0,14:17.0,18:15.5,18:45.8,18:27.7,18:48.0,,,,,,,,1900-01-01 00:18:15.500,1900-01-01 00:18:45.800,1900-01-01 00:18:27.700,1900-01-01 00:18:48.000,,,,,,,
