Plac,Klass,#,Namn,Klubb,Varv,Tid,Varv 1,Varv 2,Varv 3,Varv 4,Varv 5
68,Motion 40-49,933,Ola Korsell,Götene MK,5,05:34.9,15:30.4,7:38.8,17:16.5,8:24.4,16:44.5
69,Motion 40-49,995,Oddbjørn Sandvik,Flittig Enduro,5,05:43.9,16:37.8,8:06.0,16:24.0,8:22.7,16:13.2
70,Motion -39,545,Grim Fallenius,Götene MK,5,05:49.9,16:36.6,7:49.3,16:25.6,7:50.5,17:07.7
71,Motion 40-49,929,Rickard Bengtsson,Falköpings MK,5,06:01.0,16:18.5,8:08.9,16:20.1,8:39.8,16:33.5
72,Motion 40-49,997,Robert Strandberg,Hjo MK,5,06:26.4,16:14.3,7:49.9,16:32.9,9:08.4,16:40.7
73,Motion 40-49,908,Martin Börjesson,FMCK Borås,5,07:02.6,16:14.5,8:09.7,17:11.1,8:32.7,16:54.3
74,Motion -39,540,Ronnie Nilsson,Töreboda MK,5,07:15.7,16:29.1,8:39.3,16:50.8,8:41.5,16:34.8
75,Motion -39,555,Dennis Hörberg,Norrahammars MK,5,07:25.4,16:28.4,8:01.2,16:29.7,9:39.5,16:46.5
76,Motion 40-49,947,Magnus Enander,Ulricehamns MK,5,07:33.5,16:24.7,8:06.4,16:49.2,9:02.8,17:10.2
77,Motion -39,560,John Larsson,Carlsborgs MK,5,07:38.4,16:09.2,9:34.6,16:42.7,9:03.8,16:08.0
78,Motion -39,574,Andreas Nordström,Eds-Skottbacka MX Förening,5,07:40.1,16:32.7,8:18.0,17:24.0,8:21.3,17:03.9
79,Motion -39,510,Simon Öberg,Norrahammars MK,5,08:05.5,16:53.3,8:35.4,17:13.7,8:42.4,16:40.5
80,Motion -39,632,Viktor Hultman,Mariestads EK,5,08:09.2,16:17.3,8:33.8,16:36.5,9:26.5,17:14.9
81,Motion -39,811,Björn Axelsson,FMCK Skövde,5,08:24.1,16:55.1,8:46.0,16:13.3,9:36.1,16:53.5
82,Motion -39,516,Dennis Ring,FMCK Borås,5,08:40.3,16:34.7,8:38.0,16:48.9,9:01.3,17:37.2
83,Motion -39,541,Patric Gustafsson,Huskvarna MK,5,08:48.1,16:50.7,8:06.8,17:02.3,9:35.5,17:12.6
84,Motion 40-49,981,Patrick Wik,Skene MS,5,08:48.4,16:19.3,8:21.0,17:18.2,8:57.8,17:51.9
85,Motion -39,610,David Hörberg,Försvarsmaktens EK,5,08:49.4,17:17.6,8:34.0,17:19.4,8:36.5,17:01.6
86,Motion -39,562,Johan Hedström,Kinds MK,5,08:49.6,16:54.3,8:57.8,17:05.1,8:54.3,16:57.8
87,Motion -39,528,Hugo Lindström,FMCK Borås,5,08:50.4,16:20.3,8:09.8,16:34.7,10:44.9,17:00.5
88,Motion 40-49,952,Christian Johansson,Tidaholms MK,5,08:52.8,16:02.3,7:51.6,18:19.8,8:29.5,18:09.4
89,Motion -39,500,Tommy Oldenburg,FMCK Skövde,5,08:52.9,17:21.9,8:21.7,17:19.1,8:26.2,17:23.9
90,Motion 40-49,973,Björn Runfeldt,Norrahammars MK,5,09:29.8,16:20.6,8:22.8,17:44.1,9:00.8,18:01.3
91,Motion 40-49,943,Anton Gustavsson,Mariestads EK,5,09:41.5,17:17.7,8:17.6,17:29.3,8:25.8,18:10.8
92,Motion 40-49,934,Fredrik Hassesjö,Ulricehamns MK,5,09:46.8,17:03.7,8:02.2,17:19.1,9:39.9,17:41.6
93,Motion 40-49,1001,Kristian Trygg,Falköpings MK,5,10:00.4,17:03.4,8:30.7,17:27.0,9:24.5,17:34.6
94,Ungdom E1,198,Jacob Stacke,SMK Värnamo,5,10:01.8,16:57.6,8:56.6,16:46.3,9:28.7,17:52.4
