Carlsborgs MK,2023,Plac,Klass,#,Namn,Klubb,Märke/Anmälare,Varvtider,Varv,Tid
,,70,Motion -39,567,Victor Joensuu,MSK Hammaren,Sherco,20:41.6  21:38.4  20:42.0  21:17.2  ,4,24:19.3
,,71,Motion 40-49,972,Jonas Svensson,Hallsbergs MK,Yamaha,21:12.6  20:48.8  20:52.9  21:33.3  ,4,24:27.7
,,72,Motion -39,667,Philip Baumgartner,Götene MK,Husqvarna,20:58.5  20:48.3  21:17.6  21:24.7  ,4,24:29.3
,,73,Ungdom E1,125,Wiggo Hansson,Tidaholms MK,KTM,20:51.4  20:42.1  21:33.4  21:35.3  ,4,24:42.3
,,74,Motion 40-49,961,Daniel Lundqvist,Töreboda MK,Husqvarna,19:55.1  21:10.6  22:24.9  21:41.3  ,4,25:12.0
,,75,Motion -39,500,Tommy Oldenburg,FMCK Skövde,KTM,20:35.0  21:47.3  21:30.1  21:30.7  ,4,25:23.2
,,76,Motion -39,540,Ronnie Nilsson,Töreboda MK,KTM,21:00.1  21:34.9  21:28.2  21:26.3  ,4,25:29.6
,,77,Motion -39,589,Joel Rådberg,SMK Trollhättan,Husqvarna,21:10.9  21:20.8  21:20.2  21:38.1  ,4,25:30.2
,,78,Motion 40-49,920,Christoffer Johnsson,Hisingens MK,Sherco,20:49.8  21:21.6  21:52.9  21:39.4  ,4,25:43.8
,,79,Motion 40-49,1023,Fredrik Kron,Falköpings MK,KTM,20:45.1  21:14.9  21:27.5  22:16.5  ,4,25:44.1
,,80,Motion -39,689,Jonatan Svantesson,Kullings MS,Yamaha,20:44.4  21:51.8  21:32.4  21:43.0  ,4,25:51.8
,,81,Motion 40-49,985,Håkan Lykkeberg,BMK Uddevalla,KTM,20:46.5  21:00.3  21:41.6  22:34.5  ,4,26:02.9
,,82,Motion -39,700,Mattias Göransson,Försvarsmaktens EK,Honda,20:52.3  21:22.5  22:03.4  21:46.2  ,4,26:04.6
,,83,Motion -39,504,Christer Strand,Tibro MK,GasGas,20:59.1  21:34.8  21:42.1  22:03.2  ,4,26:19.3
,,84,Motion 40-49,913,Daniel Blomqvist,FMCK Skövde,TM,20:57.2  21:44.0  21:36.2  22:08.8  ,4,26:26.3
,,85,Motion 40-49,1013,David Thorn,Götene MK,KTM,20:58.0  22:05.5  21:23.3  22:02.8  ,4,26:29.8
,,86,Motion 40-49,904,Henrik Lindström,FMCK Borås,KTM,21:37.9  21:40.5  21:27.6  21:54.9  ,4,26:41.0
,,87,Motion -39,535,Johan Andersson,SMK Östgöta,Yamaha,21:05.8  21:50.3  21:42.4  22:06.8  ,4,26:45.3
,,88,Motion 40-49,1004,Rickard Persson,Tibro MK,Sherco,21:41.0  21:42.2  21:55.4  22:06.0  ,4,27:24.8
,,89,Motion 40-49,934,Fredrik Hassesjö,Ulricehamns MK,KTM,21:49.8  21:43.3  21:30.0  22:28.7  ,4,27:32.0
,,90,Motion 40-49,981,Patrick Wik,Skene MS,Sherco / Team VIXUS MC,21:05.2  21:48.0  22:01.1  22:55.4  ,4,27:49.8
